"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"14","2746-P",92,1658.80133376643,"HQOWV","Houston","Texas","Australia","Local Pumpkin Festival","1444 K","1009 C",416,1531,5,"Long Pie",752.419014585783,"Heavy"
"15","2289-P",77,1594.26052371319,"FSGWF","Los Angeles","Florida","Australia","Local Pumpkin Festival","1267 Q","1819 M",431,1624,-7,"Sugar Pie",723.143819472115,"Heavy"
"16","2432-P",22,1569.79370974191,"LKZXN","Chicago","New York","Australia","Regional Pumpkin Festival","1717 G","1583 K",407,1448,4,"Yuxijiangbinggua",712.04586838925,"Heavy"
"17","2935-P",12,1568.67107969243,"QEVXO","Nottingham","New York","UK","National Pumpkin Festival","1446 H","1784 F",391,1285,22,"Sugar Pie",711.536652379849,"Heavy"
"18","2558-P",8,1569.84305691067,"LEFFZ","Nottingham","Texas","UK","Local Pumpkin Festival","1458 P","1204 K",421,1507,2,"Long Pie",712.068251870225,"Heavy"
"19","2005-P",14,1542.62707827054,"VAVVD","Nottingham","California","UK","National Pumpkin Festival","1738 S","1322 B",399,1388,16,"Sugar Pie",699.723301686891,"Heavy"
"20","2322-P",64,1552.33902437519,"XSNAS","Nottingham","New York","USA","Local Pumpkin Festival","1495 W","1286 B",428,1610,-7,"Naples Long",704.128562744392,"Heavy"
"21","2362-P",97,1540.20889556594,"BVLQP","Nottingham","Texas","USA","Regional Pumpkin Festival","1176 V","1439 S",408,1437,8,"Yuxijiangbinggua",698.626433357547,"Heavy"
"22","2092-P",95,1534.38922225311,"WBYXM","Houston","Texas","UK","National Pumpkin Festival","1262 M","1247 W",404,1426,9,"Long Pie",695.986676100234,"Heavy"
"23","2778-P",11,1528.76719410997,"DWDVA","New York","Florida","UK","Regional Pumpkin Festival","1377 S","1265 O",422,1545,-6,"Sugar Pie",693.436569110729,"Heavy"
"24","2838-P",46,1492.01750485972,"QDWVK","Houston","California","USA","Local Pumpkin Festival","1163 O","1579 E",407,1397,11,"Naples Long",676.767204064328,"Heavy"
"25","2887-P",1,1497.9329446014,"KWHPC","Nottingham","New York","UK","National Pumpkin Festival","1538 I","1422 H",403,1421,2,"Sugar Pie",679.450400207639,"Heavy"
"26","2408-P",50,1488.77492545079,"FEPTF","Chicago","Florida","USA","Regional Pumpkin Festival","1587 W","1138 I",418,1542,-5,"Yuxijiangbinggua",675.296395985077,"Heavy"
"27","2187-P",35,1484.68369443063,"SSEUE","Paris","Texas","USA","National Pumpkin Festival","1559 O","1454 N",422,1507,-1,"Naples Long",673.440646324177,"Heavy"
"28","2262-P",1,1480.07678307686,"FAQKI","Los Angeles","California","USA","Regional Pumpkin Festival","1181 O","1949 M",403,1418,7,"Long Pie",671.350988189399,"Heavy"
"29","2388-P",23,1478.42598450091,"DIFLP","Nottingham","Florida","USA","National Pumpkin Festival","1980 I","1616 J",432,1589,-11,"Long Pie",670.602199161736,"Heavy"
"30","2420-P",34,1484.3106501773,"LWCYW","Los Angeles","New York","UK","Local Pumpkin Festival","1470 M","1269 Q",413,1493,-1,"Long Pie",673.271436435222,"Heavy"
"31","2211-P",44,1469.15671279896,"NFQXE","Paris","New York","USA","Local Pumpkin Festival","1781 L","1336 V",409,1454,0,"Long Pie",666.397731671906,"Heavy"
"32","2144-P",43,1455.51837716624,"VKHMH","Los Angeles","Florida","Australia","National Pumpkin Festival","1858 X","1764 Y",412,1468,4,"Yuxijiangbinggua",660.21149173559,"Heavy"
"33","2715-P",10,1443.83550802805,"MIWRD","Chicago","Florida","USA","National Pumpkin Festival","1791 K","1248 A",395,1343,12,"Yuxijiangbinggua",654.912235757457,"Heavy"
"34","2924-P",5,1451.62757716607,"KMWXM","Houston","California","UK","Regional Pumpkin Festival","1935 I","1698 B",402,1373,7,"Long Pie",658.446655981913,"Heavy"
"35","2928-P",84,1447.20371042285,"XGJTL","Paris","New York","USA","Local Pumpkin Festival","1274 B","1295 V",399,1319,11,"Long Pie",656.440025418122,"Heavy"
"36","2283-P",97,1443.13613604754,"KLWOK","Houston","Texas","USA","Regional Pumpkin Festival","1465 K","1588 C",377,1199,24,"Naples Long",654.595006222077,"Heavy"
"37","2091-P",76,1428.52634566352,"FYWFX","Nottingham","Florida","USA","Regional Pumpkin Festival","1484 O","1627 I",410,1431,-3,"Naples Long",647.968122182206,"Heavy"
"38","2317-P",79,1437.01162284426,"WXBVP","Los Angeles","New York","UK","Regional Pumpkin Festival","1544 Y","1414 L",435,1694,-21,"Long Pie",651.816976029175,"Heavy"
"39","2276-P",44,1426.14710830711,"FJVJN","New York","New York","UK","Local Pumpkin Festival","1853 I","1745 X",392,1291,13,"Sugar Pie",646.888919151238,"Heavy"
"40","2101-P",76,1429.43758616317,"XTLZZ","Paris","New York","UK","Regional Pumpkin Festival","1856 P","1906 L",394,1335,9,"Yuxijiangbinggua",648.381453582925,"Heavy"
"41","2532-P",24,1420.82491799444,"OYDBR","Los Angeles","New York","Australia","Regional Pumpkin Festival","1987 K","1781 L",385,1267,13,"Sugar Pie",644.474816202934,"Heavy"
"42","2080-P",6,1404.74304944742,"KOYXL","Houston","New York","Australia","National Pumpkin Festival","2000 C","1133 S",408,1419,-2,"Sugar Pie",637.180209284956,"Heavy"
"43","2842-P",54,1413.44631560519,"NIDYS","Los Angeles","New York","USA","Local Pumpkin Festival","1828 P","1515 R",398,1314,6,"Long Pie",641.127941187991,"Heavy"
"44","2051-P",82,1409.15193486493,"FIZVP","Paris","California","USA","National Pumpkin Festival","1944 H","1878 I",398,1368,0,"Long Pie",639.180044439254,"Heavy"
"45","2442-P",24,1407.62251591869,"ZIPKD","Los Angeles","California","UK","Local Pumpkin Festival","1336 Q","1706 B",398,1358,8,"Long Pie",638.486312240589,"Heavy"
"46","2399-P",95,1383.15991967265,"JSPHW","Houston","New York","USA","National Pumpkin Festival","1566 L","1850 I",407,1395,-4,"Yuxijiangbinggua",627.390274284155,"Medium"
"47","2498-P",98,1380.51505154744,"UHOLR","Paris","Texas","USA","Local Pumpkin Festival","1501 H","1879 J",394,1291,2,"Naples Long",626.190583261505,"Medium"
"48","2898-P",14,1385.98241774645,"WOHUD","Paris","California","Australia","National Pumpkin Festival","1102 I","1258 B",412,1489,-10,"Sugar Pie",628.670536830446,"Medium"
"49","2362-P",39,1388.06011049915,"OMPMB","Nottingham","Florida","Australia","National Pumpkin Festival","1712 G","1789 W",392,1291,9,"Sugar Pie",629.612961641531,"Medium"
"50","2258-P",27,1387.85281836428,"FDQJG","Paris","Texas","UK","National Pumpkin Festival","1822 N","1462 W",406,1397,-3,"Sugar Pie",629.518935587489,"Medium"
"51","2223-P",95,1371.31272995844,"AMCQA","Nottingham","New York","USA","Regional Pumpkin Festival","1315 S","1593 C",388,1258,4,"Sugar Pie",622.016483807311,"Medium"
"52","2253-P",61,1358.13878182136,"ZGJSF","Nottingham","Texas","Australia","National Pumpkin Festival","1737 B","1706 P",401,1341,-2,"Yuxijiangbinggua",616.040886323912,"Medium"
"53","2160-P",2,1362.63012517709,"QEUVH","Los Angeles","Florida","USA","Local Pumpkin Festival","1833 I","1586 N",392,1290,6,"Long Pie",618.078123739328,"Medium"
"54","2208-P",6,1356.23988860473,"DIYNU","Paris","New York","Australia","National Pumpkin Festival","1380 Z","1028 I",391,1308,5,"Yuxijiangbinggua",615.179563551997,"Medium"
"55","2775-P",18,1349.31651882175,"OPZYS","New York","Florida","USA","Local Pumpkin Festival","1622 O","1346 P",389,1256,12,"Sugar Pie",612.039178405397,"Medium"
"56","2874-P",98,1343.55442413129,"UJFLR","New York","New York","Australia","Regional Pumpkin Festival","1843 I","1598 L",406,1412,-10,"Sugar Pie",609.42553835056,"Medium"
"57","2386-P",66,1341.09936270583,"JTLRQ","Los Angeles","New York","UK","Regional Pumpkin Festival","1946 D","1442 F",388,1275,10,"Sugar Pie",608.311942128465,"Medium"
"58","2727-P",54,1326.78934666608,"WWGNP","Chicago","Texas","UK","Regional Pumpkin Festival","1789 Y","1719 J",401,1384,0,"Long Pie",601.821033332958,"Medium"
"59","2391-P",13,1318.17504288349,"SZYFD","Chicago","Florida","UK","Local Pumpkin Festival","1228 B","1946 L",406,1385,-3,"Long Pie",597.913654051609,"Medium"
"60","2936-P",99,1322.93004022818,"BLTQO","Chicago","Texas","USA","Regional Pumpkin Festival","1777 F","1740 O",396,1275,0,"Sugar Pie",600.070482807181,"Medium"
"61","2652-P",90,1315.61132950429,"FPTAI","Los Angeles","New York","UK","Local Pumpkin Festival","1863 W","1161 T",398,1287,0,"Long Pie",596.750774172509,"Medium"
"62","2830-P",75,1324.78097412549,"FDSXJ","Houston","Florida","UK","National Pumpkin Festival","1209 T","1113 H",385,1233,9,"Long Pie",600.910051615529,"Medium"
"63","2111-P",23,1325.23077499308,"TSVJY","Los Angeles","Florida","UK","National Pumpkin Festival","1450 Q","1901 M",381,1165,15,"Sugar Pie",601.11407769066,"Medium"
"64","2586-P",10,1309.43577225041,"AHLLR","Houston","Texas","USA","Local Pumpkin Festival","1946 I","1066 J",388,1227,7,"Naples Long",593.949590806606,"Medium"
"65","2879-P",54,1311.27340224478,"UOPDS","Chicago","Texas","Australia","Local Pumpkin Festival","1465 Y","1574 M",395,1349,-6,"Yuxijiangbinggua",594.783125071016,"Medium"
"66","2393-P",96,1302.02220035065,"USPXY","Houston","Florida","Australia","Local Pumpkin Festival","1064 Z","1506 O",403,1369,-6,"Long Pie",590.586853901452,"Medium"
"67","2391-P",14,1302.43217905331,"DOECV","Paris","New York","Australia","Local Pumpkin Festival","1279 U","1463 Y",392,1266,7,"Sugar Pie",590.772816961151,"Medium"
"68","2198-P",2,1303.24117082674,"MNMBO","Houston","New York","USA","National Pumpkin Festival","1084 V","1087 O",415,1483,-16,"Long Pie",591.139769157643,"Medium"
"69","2876-P",12,1294.1763755139,"IHHIY","Nottingham","New York","UK","National Pumpkin Festival","1586 P","1061 R",391,1286,-5,"Sugar Pie",587.028050522099,"Medium"
"70","2038-P",88,1285.04157894198,"LMGMF","Chicago","New York","UK","Local Pumpkin Festival","1524 L","1101 T",386,1241,9,"Yuxijiangbinggua",582.88457987545,"Medium"
"71","2870-P",27,1297.23958793748,"ZNDXO","Chicago","Texas","UK","National Pumpkin Festival","1495 K","1623 N",378,1124,16,"Sugar Pie",588.417499171738,"Medium"
"72","2950-P",12,1278.9361994369,"YRENX","Houston","California","USA","Regional Pumpkin Festival","1415 S","1039 O",391,1270,1,"Yuxijiangbinggua",580.11522857498,"Medium"
"73","2005-P",8,1271.79953008704,"LTBVF","Los Angeles","Florida","UK","Regional Pumpkin Festival","1254 J","1986 Y",382,1239,0,"Sugar Pie",576.87809245124,"Medium"
"74","2146-P",4,1275.10147220362,"LNPFJ","Chicago","Florida","UK","National Pumpkin Festival","1860 Z","1065 I",382,1207,5,"Long Pie",578.375826979784,"Medium"
"75","2832-P",83,1268.10363177955,"WKIID","Chicago","Texas","Australia","Local Pumpkin Festival","1304 N","1404 O",375,1158,7,"Naples Long",575.20166254615,"Medium"
"76","2945-P",44,1258.52498763148,"FTCNR","Los Angeles","New York","Australia","Regional Pumpkin Festival","1325 K","1669 N",375,1166,9,"Naples Long",570.856866189737,"Medium"
"77","2441-P",10,1257.34695017152,"MWJPA","Chicago","California","USA","Local Pumpkin Festival","1091 P","1217 T",-1,-5,1,"Long Pie",570.322517822198,"Medium"
"78","2778-P",36,1266.64714211226,"RYEMG","Chicago","New York","UK","National Pumpkin Festival","1401 P","1975 E",366,1100,14,"Sugar Pie",574.541010484982,"Medium"
"79","2666-P",23,1266.6783173196,"ESRXF","Nottingham","Texas","Australia","Regional Pumpkin Festival","1805 K","1369 F",374,1155,12,"Naples Long",574.555151309633,"Medium"
"80","2913-P",26,1243.5022318894,"GLSAZ","Paris","Florida","UK","National Pumpkin Festival","1177 R","1786 A",377,1195,0,"Yuxijiangbinggua",564.042664367179,"Medium"
"81","2510-P",10,1251.22615268175,"QXYOA","Houston","California","UK","Regional Pumpkin Festival","1429 I","1595 H",371,1144,9,"Sugar Pie",567.546173047218,"Medium"
"82","2854-P",89,1241.23946343418,"GXFPZ","Houston","New York","USA","Local Pumpkin Festival","1734 U","1552 I",396,1327,-9,"Sugar Pie",563.016290698038,"Medium"
"83","2605-P",18,1249.44174007047,"YBIZW","Houston","New York","Australia","Regional Pumpkin Festival","1099 V","1664 Q",368,1092,13,"Naples Long",566.736777762044,"Medium"
"84","2376-P",93,1242.05008317064,"XMGIN","Paris","New York","UK","Local Pumpkin Festival","1905 I","1920 D",384,1237,4,"Sugar Pie",563.383981325539,"Medium"
"85","2231-P",8,1238.71044086851,"LDTFO","Nottingham","Texas","UK","Regional Pumpkin Festival","1598 X","1103 Y",384,1197,-2,"Yuxijiangbinggua",561.86914629443,"Medium"
"86","2981-P",45,1235.79326538555,"AXJZT","Paris","Texas","Australia","Regional Pumpkin Festival","1124 Z","1652 Q",381,1225,-4,"Yuxijiangbinggua",560.545938832764,"Medium"
"87","2756-P",46,1226.66219814215,"WTLYG","Nottingham","Texas","USA","Regional Pumpkin Festival","1438 F","1270 Y",404,1400,-16,"Long Pie",556.404159779693,"Medium"
"88","2066-P",58,1229.6311553102,"IPXNN","Los Angeles","Florida","Australia","National Pumpkin Festival","1396 O","1543 N",376,1186,7,"Yuxijiangbinggua",557.750854999464,"Medium"
"89","2560-P",41,1220.04404788166,"UYXUL","Houston","Florida","USA","Local Pumpkin Festival","1394 M","1208 F",372,1129,4,"Naples Long",553.402219766739,"Medium"
"90","2184-P",76,1230.58780187257,"MOUQI","Chicago","Florida","Australia","National Pumpkin Festival","1801 H","1624 S",383,1178,5,"Long Pie",558.184782226981,"Medium"
"91","2092-P",21,1227.16911824793,"LHKNU","Los Angeles","California","USA","National Pumpkin Festival","1259 P","1703 M",365,1104,13,"Yuxijiangbinggua",556.634094684313,"Medium"
"92","2617-P",12,1224.90471275803,"SXSTT","Chicago","Florida","UK","Regional Pumpkin Festival","1010 D","1138 Z",378,1144,2,"Yuxijiangbinggua",555.606978469339,"Medium"
"93","2539-P",62,1206.43104132842,"NDESD","Chicago","New York","UK","National Pumpkin Festival","1378 H","1399 X",392,1326,-11,"Naples Long",547.227468898242,"Medium"
"94","2978-P",27,1208.46198746841,"ZTQLE","New York","New York","USA","Local Pumpkin Festival","1186 S","1313 W",378,1178,-2,"Naples Long",548.148689819773,"Medium"
"95","2517-P",96,1221.59226669278,"NDSZJ","Houston","Florida","Australia","Regional Pumpkin Festival","1660 G","1226 S",386,1224,1,"Naples Long",554.104479433711,"Medium"
"96","2713-P",11,1219.70469237398,"SFVUD","New York","New York","USA","Local Pumpkin Festival","1153 J","1263 S",372,1088,6,"Naples Long",553.2482908233,"Medium"
"97","2937-P",16,1208.50328054279,"ZZFWP","Nottingham","Texas","Australia","Local Pumpkin Festival","1614 U","1658 I",369,1138,11,"Yuxijiangbinggua",548.167420027966,"Medium"
"98","2460-P",35,1210.45722661447,"KWFMY","Houston","Florida","USA","Local Pumpkin Festival","1880 M","1887 O",377,1204,5,"Naples Long",549.05371433451,"Medium"
"99","2007-P",28,1209.79754360765,"TNUDM","Houston","New York","UK","National Pumpkin Festival","1958 T","1335 K",398,1301,-8,"Naples Long",548.754487400082,"Medium"
"100","2014-P",57,1192.48962455895,"AXPYT","Nottingham","Florida","UK","National Pumpkin Festival","1928 P","1638 N",369,1102,4,"Long Pie",540.903753782942,"Medium"
"101","2775-P",62,1194.01048468519,"KXQUM","Nottingham","New York","USA","Regional Pumpkin Festival","1832 F","1816 A",363,1016,21,"Naples Long",541.593603769325,"Medium"
"102","2591-P",82,1184.28676973097,"VGKKI","Houston","Texas","UK","Local Pumpkin Festival","1455 B","1239 Q",388,1280,-10,"Yuxijiangbinggua",537.18300445581,"Medium"
"103","2611-P",95,1183.11829448491,"NVKLJ","New York","New York","Australia","National Pumpkin Festival","1359 W","1621 X",396,1300,-6,"Naples Long",536.652993432001,"Medium"
"104","2220-P",90,1199.05062842257,"UICES","New York","New York","USA","National Pumpkin Festival","1151 S","1266 L",384,1195,-2,"Yuxijiangbinggua",543.879772647452,"Medium"
"105","2841-P",7,1187.99561870936,"QINUX","New York","Texas","Australia","Local Pumpkin Festival","1401 G","1122 Y",392,1276,-10,"Sugar Pie",538.865308681617,"Medium"
"106","2652-P",77,1193.94528174307,"ZEEKC","Nottingham","New York","UK","Local Pumpkin Festival","1570 R","1917 D",365,1079,14,"Long Pie",541.564028236403,"Medium"
"107","2138-P",2,1183.52513342444,"MSYBJ","Los Angeles","Texas","USA","Regional Pumpkin Festival","1525 M","1127 Z",388,1211,3,"Naples Long",536.837532320258,"Medium"
"108","2264-P",35,1169.0773193473,"RBDYA","Nottingham","Texas","USA","Regional Pumpkin Festival","1722 Z","1602 B",386,1242,-2,"Sugar Pie",530.28411943738,"Medium"
"109","2235-P",55,1172.03336438723,"TPTJC","Nottingham","Texas","UK","Regional Pumpkin Festival","1140 D","1423 C",369,1084,8,"Naples Long",531.624957819132,"Medium"
"110","2655-P",46,1180.52490537614,"YPFUF","Los Angeles","Texas","Australia","National Pumpkin Festival","1416 K","1834 Z",376,1130,-1,"Long Pie",535.476652879372,"Medium"
"111","2079-P",18,1170.57578830142,"YDJKE","Los Angeles","Florida","USA","Local Pumpkin Festival","1572 M","1039 A",371,1122,0,"Naples Long",530.963812967216,"Medium"
"112","2463-P",87,1162.73751664534,"OKXYH","Los Angeles","California","Australia","Regional Pumpkin Festival","1947 X","1261 S",381,1158,2,"Long Pie",527.408435650194,"Medium"
"113","2695-P",94,1163.03407519497,"SEPDX","Chicago","Texas","UK","Local Pumpkin Festival","1977 P","1317 U",388,1231,-5,"Sugar Pie",527.542952235837,"Medium"
"114","2616-P",99,1136.94112363178,"UUJCY","Paris","Texas","UK","Local Pumpkin Festival","1115 P","1346 T",390,1279,-15,"Yuxijiangbinggua",515.707398150388,"Medium"
"115","2882-P",89,1138.09615361225,"TICVL","New York","Florida","Australia","Regional Pumpkin Festival","1544 B","1214 F",379,1153,-2,"Naples Long",516.231310509287,"Medium"
"116","2960-P",76,1135.19338864069,"ZPPTA","Los Angeles","New York","Australia","Regional Pumpkin Festival","1205 P","1679 I",359,1032,5,"Naples Long",514.91463954031,"Medium"
"117","2295-P",93,1136.98801884055,"UTQXW","Los Angeles","California","USA","Regional Pumpkin Festival","1411 V","1369 C",387,1233,-9,"Long Pie",515.728669441923,"Medium"
"118","2016-P",26,1139.03990138043,"QIEEU","Nottingham","New York","USA","Regional Pumpkin Festival","1671 O","1747 G",371,1089,4,"Yuxijiangbinggua",516.659386946951,"Medium"
"119","2235-P",21,1131.4073460428,"JDEZK","Los Angeles","New York","USA","Local Pumpkin Festival","1772 M","1886 Q",385,1195,-3,"Yuxijiangbinggua",513.197320906248,"Medium"
"120","2402-P",94,1121.84090651944,"EXFSH","Paris","Florida","USA","National Pumpkin Festival","1303 O","1399 Y",374,1170,-8,"Sugar Pie",508.858060469967,"Medium"
"121","2483-P",57,1121.36958640534,"LMOCE","Chicago","Florida","UK","Local Pumpkin Festival","1775 L","1264 P",374,1165,-2,"Long Pie",508.644273436773,"Medium"
"122","2367-P",1,1117.77828027029,"YLMNR","Chicago","Florida","UK","Regional Pumpkin Festival","1061 G","1747 X",394,1265,-9,"Sugar Pie",507.01528570436,"Medium"
"123","2599-P",38,1107.31664647069,"HWOZL","New York","Texas","USA","Regional Pumpkin Festival","1352 G","1922 S",361,1063,0,"Yuxijiangbinggua",502.269972305932,"Medium"
"124","2433-P",53,1113.1234628614,"CJWLG","Houston","Florida","UK","Local Pumpkin Festival","1078 U","1319 X",370,1097,4,"Sugar Pie",504.90389776623,"Medium"
"125","2410-P",45,1115.46703284699,"ENRHZ","New York","New York","UK","Local Pumpkin Festival","1819 F","1868 V",358,1028,9,"Yuxijiangbinggua",505.966922363134,"Medium"
"126","2397-P",40,1106.51995138545,"IDBCX","Houston","California","UK","Local Pumpkin Festival","1257 N","1177 T",360,1054,10,"Naples Long",501.908597788827,"Medium"
"127","2073-P",31,1100.59556325804,"OKTWB","Los Angeles","California","UK","Local Pumpkin Festival","1051 V","1580 K",378,1182,-2,"Sugar Pie",499.221342729343,"Medium"
"128","2234-P",44,1111.04190765042,"LDXUR","Chicago","California","USA","National Pumpkin Festival","1026 X","1584 P",379,1200,-12,"Naples Long",503.959720974969,"Medium"
"129","2243-P",85,1111.69291018527,"ZGOEZ","Houston","Texas","Australia","National Pumpkin Festival","1928 F","1677 X",371,1086,-1,"Naples Long",504.255010516757,"Medium"
"130","2170-P",68,1098.80664059613,"IANZS","New York","California","Australia","National Pumpkin Festival","1201 B","1135 N",341,907,17,"Sugar Pie",498.409901721279,"Medium"
"131","2039-P",87,1098.90678691957,"WQZJD","Nottingham","California","Australia","Local Pumpkin Festival","1360 U","1679 K",369,1065,0,"Yuxijiangbinggua",498.455327292422,"Medium"
"132","2541-P",16,1101.65335875675,"FDWXW","Paris","California","Australia","National Pumpkin Festival","1092 P","1858 Z",356,1027,10,"Naples Long",499.701150305192,"Medium"
"133","2024-P",74,1080.60121408198,"DNVLP","Chicago","Texas","Australia","Regional Pumpkin Festival","1824 Z","1553 Q",371,1141,-2,"Sugar Pie",490.152065897874,"Medium"
"134","2549-P",41,1089.1213498814,"CLWRY","Houston","California","UK","Regional Pumpkin Festival","1985 N","1367 B",374,1159,-5,"Yuxijiangbinggua",494.016731335405,"Medium"
"135","2305-P",29,1067.94663706422,"CKLWQ","Los Angeles","Texas","UK","Local Pumpkin Festival","1326 C","1302 O",351,943,13,"Sugar Pie",484.412050999233,"Medium"
"136","2731-P",29,1071.79739625249,"YPBYD","Nottingham","New York","USA","Local Pumpkin Festival","1017 C","1005 X",-5,-5,4,"Long Pie",486.15872456096,"Medium"
"137","2404-P",39,1067.54266869836,"VUDXV","Chicago","California","Australia","Local Pumpkin Festival","1815 J","1348 S",364,1051,4,"Sugar Pie",484.228814180225,"Medium"
"138","2917-P",26,1069.96090921946,"ZDCQM","Chicago","Texas","USA","Local Pumpkin Festival","1358 R","1981 Z",351,992,7,"Sugar Pie",485.325708734673,"Medium"
"139","2292-P",8,1070.21196947154,"EAOOX","Chicago","California","USA","Local Pumpkin Festival","1126 Y","1306 I",360,997,8,"Sugar Pie",485.439587656533,"Medium"
"140","2136-P",58,1054.55626468826,"UVASB","Los Angeles","Texas","USA","Regional Pumpkin Festival","1167 C","1184 I",375,1165,-6,"Long Pie",478.338285212478,"Medium"
"141","2732-P",4,1050.35647457726,"HBPEQ","Chicago","New York","UK","Local Pumpkin Festival","1968 G","1159 U",343,922,17,"Naples Long",476.43329401645,"Medium"
"142","2106-P",82,1053.07737630699,"KSSKD","New York","New York","USA","Local Pumpkin Festival","1247 I","1423 H",372,1080,3,"Yuxijiangbinggua",477.667473273839,"Medium"
"143","2522-P",58,1055.03147607185,"FZAKV","Nottingham","California","USA","National Pumpkin Festival","1112 U","1456 W",358,1003,2,"Naples Long",478.553837294382,"Medium"
"144","2901-P",12,1059.35531134065,"XQUDP","Paris","California","Australia","Local Pumpkin Festival","1275 Q","1966 R",370,1126,-5,"Long Pie",480.515094381629,"Medium"
"145","2625-P",43,1046.01914323866,"LVYNA","Nottingham","California","USA","Local Pumpkin Festival","1058 H","1347 F",360,979,7,"Naples Long",474.465915219912,"Medium"
"146","2615-P",88,1048.10881891754,"GCWVY","Nottingham","Texas","UK","National Pumpkin Festival","1232 B","1831 S",376,1125,-2,"Long Pie",475.413775390443,"Medium"
"147","2190-P",7,1040.87456957344,"BISKI","Houston","Florida","UK","Local Pumpkin Festival","1615 W","1880 A",366,1052,3,"Sugar Pie",472.132377761956,"Medium"
"148","2623-P",79,1035.41004096493,"VZXNR","Houston","Texas","USA","Local Pumpkin Festival","1412 S","1186 O",361,1032,6,"Naples Long",469.653711301365,"Medium"
"149","2440-P",64,1038.56719648652,"BJROF","Los Angeles","California","USA","Regional Pumpkin Festival","1634 A","1856 F",367,1067,-2,"Long Pie",471.085771788713,"Medium"
"150","2340-P",70,1043.69653159101,"GHYFC","Houston","California","USA","Regional Pumpkin Festival","1688 U","1199 Z",370,1091,-2,"Naples Long",473.412397157427,"Medium"
"151","2962-P",25,1039.81800609548,"STRZJ","Nottingham","California","Australia","National Pumpkin Festival","1362 V","1823 D",351,974,8,"Yuxijiangbinggua",471.653129020859,"Medium"
"152","2471-P",90,1038.39772164728,"NGOSA","Nottingham","California","UK","Regional Pumpkin Festival","1533 K","1787 N",347,966,6,"Long Pie",471.008899357435,"Medium"
"153","2850-P",23,1039.37273041718,"AQOZN","Houston","California","Australia","Local Pumpkin Festival","1026 Z","1264 L",340,899,11,"Sugar Pie",471.451155535388,"Medium"
"154","2851-P",52,1046.96773594432,"ENDNG","Los Angeles","California","UK","National Pumpkin Festival","1568 X","1892 G",372,1150,-6,"Sugar Pie",474.896189282454,"Medium"
"155","2858-P",69,1029.0004167147,"YGONI","Los Angeles","Florida","USA","Local Pumpkin Festival","1802 V","1268 I",365,1033,-5,"Long Pie",466.746357018453,"Medium"
"156","2802-P",91,1029.57506996393,"YAYHQ","Los Angeles","Florida","USA","Regional Pumpkin Festival","1943 B","1065 K",357,991,0,"Naples Long",467.00701513508,"Medium"
